City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Pervomayskaya,43.4033,45.5261,69.6,78,0,2.24,RU,1659230262
Busselton,-33.65,115.3333,56.14,70,79,10.58,AU,1659230263
Lugovoy,42.9472,72.7644,67.53,50,8,5.1,KZ,1659230263
Provideniya,64.3833,-173.3,53.53,65,98,6.31,RU,1659230263
Saint Paul Harbor,57.79,-152.4072,62.11,72,100,9.22,US,1659230264
Pangkalanbuun,-2.6833,111.6167,74.61,96,100,5.79,ID,1659230264
Chum Phae,16.5443,102.0992,85.17,67,100,2.26,TH,1659230264
Pauini,-7.7136,-66.9764,76.73,54,2,1.86,BR,1659230264
Atuona,-9.8,-139.0333,76.95,77,13,14.47,PF,1659230265
Byron Bay,-28.65,153.6167,62.71,60,100,1.88,AU,1659230040
Birobidzhan,48.8,132.95,78.78,75,0,4.25,RU,1659230265
Kagadi,0.9606,30.7967,62.4,97,94,1.16,UG,1659230265
Lázaro Cárdenas,17.9583,-102.2,82.49,74,100,2.39,MX,1659229983
Bluff,-46.6,168.3333,47.44,75,54,15.97,NZ,1659230266
Albany,42.6001,-73.9662,73.63,63,0,3.0,US,1659230135
Alindao,5.0267,21.2088,68.58,96,100,1.54,CF,1659230266
Nome,64.5011,-165.4064,65.16,51,0,10.36,US,1659230266
Poum,-20.2333,164.0167,72.73,72,10,22.91,NC,1659230267
Baruun-Urt,46.6806,113.2792,69.6,62,0,6.71,MN,1659230267
Bambous Virieux,-20.3428,57.7575,70.21,77,75,18.41,MU,1659230267
Puerto Ayora,-0.7393,-90.3518,71.55,88,60,5.01,EC,1659230268
Rikitea,-23.1203,-134.9692,72.7,75,5,15.61,PF,1659230268
Coahuayana Viejo,18.7333,-103.6833,81.39,79,100,1.81,MX,1659229979
Payo,-3.7508,103.6372,74.48,90,100,1.34,ID,1659230268
Castro,-24.7911,-50.0119,46.92,72,5,3.31,BR,1659230268
Kirakira,-10.4544,161.9205,85.05,66,8,9.35,SB,1659230269
Kaputa,-8.4689,29.6619,70.27,53,100,2.66,ZM,1659230269
Vidim,56.4088,103.1106,59.38,99,100,9.35,RU,1659230269
Mar del Plata,-38.0023,-57.5575,53.1,86,0,11.01,AR,1659230163
Sirte,31.2089,16.5887,80.22,73,0,5.08,LY,1659230270
Mataura,-46.1927,168.8643,42.71,95,97,6.17,NZ,1659230270
Port Macquarie,-31.4333,152.9167,61.9,60,100,10.09,AU,1659230270
Laishevo,55.4046,49.5504,61.02,76,100,4.59,RU,1659230270
Qaanaaq,77.484,-69.3632,44.78,61,24,2.35,GL,1659230271
Grindavik,63.8424,-22.4338,48.67,87,75,5.75,IS,1659230271
Tautira,-17.7333,-149.15,77.61,70,23,22.95,PF,1659230271
Faanui,-16.4833,-151.75,79.23,70,10,22.62,PF,1659230272
Umeå,63.8284,20.2597,50.92,100,0,0.0,SE,1659230272
Hermanus,-34.4187,19.2345,43.81,70,58,5.64,ZA,1659230272
Ushuaia,-54.8,-68.3,42.46,65,40,18.41,AR,1659230272
Kapaa,22.0752,-159.319,84.52,70,40,12.66,US,1659230273
Hong Kong,22.2855,114.1577,87.85,82,27,4.0,HK,1659230081
